Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0,030061745;2,012326479;6,355408192;0,78170687;6,712059056
0,051727643;3,809175014;2,476801634;1,403002143;4,755289228
0,068265019;5,334281445;5,808333397;0,219069451;7,889187969
0,080914462;-1,647210717;8,291120529;1,754949808;8,63341367
0,092218663;-0,629675031;9,974244118;2,067393064;10,20569206
0,10287631;-0,739808321;9,640253067;2,245761156;9,925988047
0,113140082;-1,18991828;9,838972092;1,763329506;10,06631056
0,124678322;-0,970848799;9,579200745;1,825578809;9,799814911
0,13414101;0,038307227;9,600749016;1,385045648;9,700216521
0,143819411;0,023942016;9,794678688;1,632845521;9,929878565
0,153630356;-0,156820208;9,740809441;1,617283225;9,875402076
0,163704214;-0,354341865;9,692925453;1,533486247;9,81987485
0,173581976;-0,093373865;9,903614998;1,424550056;10,00598079
0,183558748;-0,02873042;10,14064121;1,352723956;10,23050789
0,193708306;0,039504327;10,41238308;1,355118155;10,50026796
0,203655325;0,339976639;10,63145256;1,270123959;10,71244988
0,213533183;0,320823014;10,17416;1,224634171;10,25261859
0,22357568;0,349553436;9,819818497;1,63643682;9,961372816
0,233559637;0,216675252;9,58638382;1,22822547;9,667173357
0,243523047;-0,652419984;8,901641846;1,133654475;8,997224675
0,25346733;-0,497993946;8,70771122;1,364694953;8,828058958
0,263726191;-0,010773907;8,80467701;1,329979062;8,904566111
0,273625179;-1,127668977;8,622717857;2,173935175;8,963754499
0,283568501;-1,920149803;7,831433773;2,469619036;8,433110244
0,293656646;-2,504334927;6,73129797;2,005143881;7,456719638
0,303634234;-1,908178806;7,459135532;1,714248419;7,887870238
0,313693914;-2,686294317;6,604405403;1,997961283;7,404471431
0,323547035;1,540668845;10,3501339;1,752555609;10,6099191
0,333544949;2,687491417;11,79264069;2,564189911;12,36382038
0,343518021;2,886210203;12,10987186;2,744952202;12,74809666
0,353534739;2,876633406;11,99734497;2,430114746;12,57444885
0,363491458;2,506729126;12,19366932;2,129642487;12,62951462
0,373504114;2,721010208;11,64779091;2,574964046;12,23541456
0,383541666;2,723404408;10,87326717;1,798045516;11,35243755
0,393456353;1,812410712;10,30464458;1,806425214;10,61761295
0,403461744;0,661996782;9,898826599;2,167949677;10,15504867
0,41402121;1,608903527;9,904812813;1,910573006;10,21489974
0,423794172;1,794454217;9,665391922;1,568202138;9,954854338
0,433675367;1,399410844;9,793481827;1,235408068;9,969797896
0,443597345;1,552639842;10,41717148;1,422155857;10,62782571
0,453735443;2,549824715;11,20606136;1,974019289;11,66079626
0,463594909;3,166331768;11,67293072;2,341529369;12,31932337
0,473559225;2,880224705;11,39640045;2,346317768;11,98661106
0,483481253;1,775300503;10,36330223;2,092532396;10,72046719
0,493692293;0,294486821;8,353369713;1,327584863;8,463332063
